0;0;0;0;12.7;-2;28.3;-77.2;0;0;0;0
0.021;0;0;-0.1;12.8;-38;28.3;-67.7;0;0;0;0
0.043;0;0;0.02;12.8;-72;28.3;-68.6;0;0;0;0
0.058;0;0;0.16;12.8;-88;28.3;-77.2;0;0;0;0
0.079;0;0;0.28;12.7;-105;28.3;-67.7;0;0;0;0
0.098;0;0;0.35;12.8;-117;28.3;-71.5;0;0;0;0
0.119;0;0;0.37;12.7;-130;28.3;-71.5;0;0;0;0
0.142;0;0;0.34;12.9;-135;28.3;-67.7;0;0;0;0
0.163;0;0;0.27;12.7;-147;28.3;-68.6;0;0;0;0
0.178;0;0;0.14;12.7;-155;28.3;-79.3;0;0;0;0
0.202;0;0;0;12.8;-167;28.3;-77.2;0;0;0;0
0.232;0;0;-0.21;12.7;-186;28.3;-85.3;0;0;0;0
0.237;0;0;-0.33;12.8;-188;28.3;-69.5;0;0;0;0
0.259;0;0;-0.35;12.8;-204;28.3;-69.5;0;0;0;0
0.281;0;0;-0.32;12.7;-210;28.3;-70.4;0;0;0;0
0.298;0;0;-0.2;12.8;-216;28.3;-67.7;0;0;0;0
0.32;0;0;-0.05;12.8;-214;28.3;-65.5;0;0;0;0
0.343;0;0;0.11;12.7;-211;28.3;-67.7;0;0;0;0
0.358;0;0;0.25;12.7;-208;28.3;-68.6;0;0;0;0
0.383;0;0;0.32;12.8;-200;28.3;-67;0;0;0;0
0.398;0;0;0.37;12.7;-197;28.3;-77.2;0;0;0;0
0.422;0;0;0.36;12.8;-193;28.3;-69.5;0;0;0;0
0.439;0;0;0.3;12.8;-189;28.3;-75.5;0;0;0;0
0.46;0;0;0.21;12.7;-192;28.3;-72.7;0;0;0;0
0.478;0;0;0.06;12.7;-192;28.3;-75.5;0;0;0;0
0.5;0;0;-0.09;12.7;-200;28.3;-75.5;0;0;0;0
0.519;0;0;-0.26;12.8;-208;28.3;-67;0;0;0;0
0.539;0;0;-0.34;12.7;-217;28.3;-67;0;0;0;0
0.561;0;0;-0.35;12.7;-221;28.3;-67.7;0;0;0;0
0.578;0;0;-0.25;12.7;-227;28.3;-70.4;0;0;0;0
0.603;0;0;-0.09;12.7;-223;28.3;-74;0;0;0;0
0.624;0;0;0.09;12.7;-220;28.3;-85.3;0;0;0;0
0.64;0;0;0.21;12.8;-216;28.3;-70.4;0;0;0;0
0.661;0;0;0.3;12.8;-207;28.3;-67;0;0;0;0
0.68;0;0;0.35;12.8;-202;28.3;-77.2;0;0;0;0
0.704;0;0;0.35;12.7;-197;28.3;-75.5;0;0;0;0
0.719;0;0;0.31;12.7;-192;28.3;-68.6;0;0;0;0
0.742;0;0;0.24;12.8;-194;28.3;-67.7;0;0;0;0
0.762;0;0;0.08;12.8;-194;28.3;-77.2;0;0;0;0
0.783;0;0;-0.08;12.7;-201;28.3;-68.6;0;0;0;0
0.799;0;0;-0.23;12.7;-207;28.3;-81.8;0;0;0;0
0.821;0;0;-0.34;12.7;-216;28.3;-67;0;0;0;0
0.841;0;0;-0.37;12.7;-223;28.3;-67;0;0;0;0
0.861;0;0;-0.29;12.7;-227;28.3;-69.5;0;0;0;0
0.881;0;0;-0.14;12.7;-226;28.3;-67.7;0;0;0;0
0.902;0;0;0.03;12.7;-223;28.3;-72.7;0;0;0;0
0.92;0;0;0.17;12.7;-218;28.3;-70.4;0;0;0;0
0.942;0;0;0.27;12.8;-209;28.3;-70.4;0;0;0;0
0.965;0;0;0.36;12.7;-203;28.3;-68.6;0;0;0;0
0.982;0;0;0.37;12.8;-199;28.3;-79.3;0;0;0;0
1.002;0;0;0.35;12.8;-191;28.3;-69.5;0;0;0;0
1.025;0;0;0.25;12.8;-193;28.3;-67;0;0;0;0
1.041;0;0;0.12;12.7;-194;28.3;-72.7;0;0;0;0
1.06;0;0;0;12.8;-198;28.3;-70.4;0;0;0;0
1.084;0;0;-0.19;12.7;-206;28.3;-69.5;0;0;0;0
1.098;0;0;-0.32;12.7;-211;28.3;-72.7;0;0;0;0
1.124;0;0;-0.37;12.8;-223;28.3;-75.5;0;0;0;0
1.143;0;0;-0.32;12.8;-225;28.3;-75.5;0;0;0;0
1.167;0;0;-0.18;12.8;-227;28.3;-77.2;0;0;0;0
1.181;0;0;-0.03;12.7;-223;28.3;-74;0;0;0;0
1.202;0;0;0.12;12.8;-219;28.3;-77.2;0;0;0;0
1.224;0;0;0.25;12.7;-212;28.3;-79.3;0;0;0;0
1.242;0;0;0.34;12.8;-205;28.3;-67.7;0;0;0;0
1.263;0;0;0.36;12.8;-201;28.3;-75.5;0;0;0;0
1.285;0;0;0.33;12.8;-193;28.3;-75.5;0;0;0;0
1.298;0;0;0.3;12.7;-192;28.3;-68.6;0;0;0;0
1.325;0;0;0.18;12.8;-194;28.3;-70.4;0;0;0;0
1.342;0;0;0.02;12.7;-196;28.3;-75.5;0;0;0;0
1.363;0;0;-0.14;12.8;-204;28.3;-77.2;0;0;0;0
1.382;0;0;-0.28;12.7;-209;28.3;-67;0;0;0;0
1.401;0;0;-0.36;12.7;-219;28.3;-67.7;0;0;0;0
1.424;0;0;-0.34;12.8;-223;28.3;-72.7;0;0;0;0
1.443;0;0;-0.22;12.7;-227;28.3;-72.7;0;0;0;0
1.464;0;0;-0.06;12.6;-223;28.3;-77.2;0;0;0;0
1.481;0;0;0.07;12.7;-222;28.3;-68.6;0;0;0;0
1.504;0;0;0.21;12.7;-215;28.3;-67;0;0;0;0
1.524;0;0;0.33;12.8;-206;28.3;-68.6;0;0;0;0
1.538;0;0;0.37;12.8;-202;28.3;-67;0;0;0;0
1.561;0;0;0.33;12.7;-198;28.3;-67;0;0;0;0
1.579;0;0;0.32;12.7;-192;28.3;-70.4;0;0;0;0
1.603;0;0;0.23;12.7;-194;28.3;-72.7;0;0;0;0
1.623;0;0;0.07;12.8;-195;28.3;-67;0;0;0;0
1.641;0;0;-0.08;12.8;-201;28.3;-71.5;0;0;0;0
1.663;0;0;-0.23;12.7;-208;28.3;-70.4;0;0;0;0
1.681;0;0;-0.35;12.7;-216;28.3;-67;0;0;0;0
1.7;0;0;-0.35;12.9;-223;28.3;-68.6;0;0;0;0
1.724;0;0;-0.28;12.7;-227;28.3;-69.5;0;0;0;0
1.738;0;0;-0.13;12.7;-227;28.3;-67.7;0;0;0;0
1.761;0;0;0.01;12.7;-223;28.3;-67;0;0;0;0
1.783;0;0;0.18;12.8;-217;28.3;-71.5;0;0;0;0
1.802;0;0;0.28;12.7;-209;28.3;-67.7;0;0;0;0
1.821;0;0;0.35;12.7;-203;28.3;-71.5;0;0;0;0
1.845;0;0;0.37;12.7;-199;28.3;-72.7;0;0;0;0
1.862;0;0;0.34;12.7;-191;28.3;-67;0;0;0;0
1.882;0;0;0.26;12.7;-193;28.3;-67.7;0;0;0;0
1.899;0;0;0.14;12.8;-194;28.3;-70.4;0;0;0;0
1.924;0;0;-0.01;12.8;-200;28.3;-67.7;0;0;0;0
1.938;0;0;-0.18;12.8;-205;28.3;-67.7;0;0;0;0
1.962;0;0;-0.31;12.7;-213;28.3;-69.5;0;0;0;0
1.979;0;0;-0.36;12.7;-222;28.3;-67;0;0;0;0
2.003;0;0;-0.31;12.8;-225;28.3;-68.6;0;0;0;0
2.024;0;0;-0.04;12.8;-194;28.3;-70.4;-0.1;0;0;0
2.042;0;0;-0.01;12.8;-169;28.3;-75.5;-0.1;0;0;0
2.059;0;0;-0.01;12.8;-148;28.4;-67;-0.1;0;0;0
2.082;0;0;0;12.8;-123;28.3;-68.6;-0.1;0;0;0
2.103;0;0;-0.01;12.8;-103;28.3;-67.7;-0.1;0;0;0
2.123;0;0;-0.01;12.7;-88;28.4;-70.4;-0.1;0;0;0
2.141;0;0;0;12.7;-76;28.3;-67;-0.1;0;0;0
2.164;0;0;0;12.8;-63;28.4;-68.6;-0.1;0;0;0
2.183;0;0;0;12.7;-53;28.4;-70.4;-0.1;0;0;0
2.202;0;0;0;12.7;-46;28.3;-65.5;-0.1;0;0;0
